"year","NOAACode","mean_sal_yr"
1993,537,11.7311324462356
1993,637,10.5275933913379
1994,5,13.8717198536375
1994,25,5.20275508635183
1994,27,9.81469644911336
1994,39,9.52077789734427
1994,43,11.4282220703432
1994,47,12.457216767713
1994,53,11.3115658952324
1994,57,13.678664241366
1994,60,10.06386220231
1994,62,9.35074707335372
1994,72,14.3870422692865
1994,78,10.5539843573797
1994,82,7.57072825991043
1994,86,10.8897273658421
1994,88,7.81144429409198
1994,96,10.613716351933
1994,99,9.1111181574878
1994,127,8.52306020364093
1994,129,12.5739086667748
1994,131,7.65061224598746
1994,137,10.6975533388032
1994,168,10.3380091422369
1994,174,7.84459499943
1994,192,14.4452468158378
1994,229,11.3861062099765
1994,231,5.67758553771216
1994,237,9.06036089617357
1994,268,9.89629922694175
1994,274,6.32582655415902
1994,292,12.8393633350691
1994,331,3.96406185867175
1994,337,6.96284670247164
1994,368,8.01806693111576
1994,437,10.915443361326
1994,537,10.6511513269302
1994,637,9.25369456553304
1995,5,17.8398384678802
1995,25,8.30820126021968
1995,27,13.676590732157
1995,39,13.3367482912202
1995,43,15.5947640004129
1995,47,16.0865652811483
1995,53,15.053537924877
1995,57,17.7858903456328
1995,60,14.0617458682053
1995,62,13.7757430507534
1995,72,18.2040363356113
1995,78,14.854308723263
1995,82,11.3399909115924
1995,86,15.2097198211707
1995,88,11.1484764036177
1995,96,15.0807799192102
1995,99,12.9944631893932
1995,127,12.2411378818269
1995,129,16.201856031221
1995,131,11.0834765371351
1995,137,14.3051033916353
1995,168,14.5350448903595
1995,174,11.8149293417928
1995,192,18.0508417450411
1995,229,15.6587644756495
1995,231,8.61553542847582
1995,237,12.5919758816076
1995,268,13.8930660165213
1995,274,10.3867594918342
1995,292,16.8129565800185
1995,331,6.27567602438097
1995,337,10.2203316271143
1995,368,12.0708394649277
1995,437,14.8114445918656
1995,537,14.4979373379684
1995,637,12.6714490121317
1996,5,13.0701953213633
1996,25,3.42528784853709
1996,27,7.48914835079903
1996,39,7.30605272708701
1996,43,10.4534221818876
1996,47,11.1634375658338
1996,53,9.09947739335508
1996,57,12.3831202811913
1996,60,8.0502497519894
1996,62,8.18195807995423
1996,72,13.4683241695988
1996,78,9.44353588717456
1996,82,5.05121968445553
1996,86,9.52480319962181
1996,88,5.1234805590137
1996,96,9.42813172889733
1996,99,7.21875651682808
1996,127,6.01665055233276
1996,129,11.0403117191448
1996,131,5.45796582790501
1996,137,8.49907707085
1996,168,9.3725530763822
1996,174,6.08961291191287
1996,192,12.9958600644961
1996,229,10.2131307299373
1996,231,3.73676039956553
1996,237,7.22926213476864
1996,268,8.33373953607338
1996,274,3.99813004651046
1996,292,11.5709586171349
1996,331,2.47265730384553
1996,337,5.77902821618638
1996,368,6.15222475226007
1996,437,8.53591281405834
1996,537,8.45771126570555
1996,637,7.44116527969318
1997,5,14.4240858949885
1997,25,6.31634434444973
1997,27,10.7891521455197
1997,39,10.4946541263729
1997,43,11.9476277257954
1997,47,13.0781167414583
1997,53,12.0473923224903
1997,57,14.220725450162
1997,60,10.6978072907764
1997,62,9.52672463409995
1997,72,14.8951405075846
1997,78,12.2365699214991
1997,82,8.26187489272168
1997,86,12.49908770433
1997,88,9.01669471070466
1997,96,10.9758133672514
1997,99,9.71024514595726
1997,127,10.0720904766056
1997,129,13.4369077208549
1997,131,8.62437208780985
1997,137,11.3715838937581
1997,168,11.7682146942005
1997,174,9.31536734034779
1997,192,15.0109236825672
1997,229,12.9176425102351
1997,231,6.65296096757984
1997,237,9.33314843275516
1997,268,10.9424901823179
1997,274,7.90272252431414
1997,292,13.4453062963851
1997,331,4.82092578824037
1997,337,7.11497575613641
1997,368,9.23872517467018
1997,437,11.5900681628964
1997,537,11.2024279372224
1997,637,9.68998981902874
1998,5,14.7354710520727
1998,25,6.30485003658261
1998,27,10.0422026382157
1998,39,10.3157354600723
1998,43,11.6798538448282
1998,47,12.6658185027993
1998,53,11.6486907136458
1998,57,14.294567759699
1998,60,10.737329663881
1998,62,9.20442732227747
1998,72,15.2050686033554
1998,78,11.0431660213174
1998,82,8.68242516758427
1998,86,11.2346234196148
1998,88,8.73244739150519
1998,96,10.7760305941629
1998,99,9.99885760811289
1998,127,9.40622095557628
1998,129,12.7494754878519
1998,131,8.68462875524086
1998,137,11.0202558086101
1998,168,11.3824019345837
1998,174,8.7574735609423
1998,192,14.7520723160951
1998,229,11.9955227270848
1998,231,6.83147256000442
1998,237,9.48769251452355
1998,268,10.8603965782678
1998,274,7.06344563361949
1998,292,13.2044839011856
1998,331,4.97674247657613
1998,337,7.41923319361285
1998,368,9.13347007447788
1998,437,11.1668040663556
1998,537,11.0217830543819
1998,637,9.70917859842799
1999,5,16.9235686236572
1999,25,9.18509973298438
1999,27,13.4537117978885
1999,39,13.1678057536321
1999,43,14.772968626624
1999,47,15.972913861824
1999,53,14.6738033512006
1999,57,16.6029369304378
1999,60,13.7802055192024
1999,62,11.9840469833371
1999,72,17.9203535828683
1999,78,15.1966907638568
1999,82,11.956510153476
1999,86,15.3522563515516
1999,88,11.9258732966464
1999,96,13.1467511707317
1999,99,12.6654858026042
1999,127,12.6189759106008
1999,129,16.1877380737303
1999,131,11.1189670478397
1999,137,14.1422548346717
1999,168,15.0293772965138
1999,174,13.0145363867293
1999,192,17.8267052735505
1999,229,15.7055045654075
1999,231,8.79687736311561
1999,237,12.4926653683371
1999,268,14.4508588758051
1999,274,11.1893858778099
1999,292,16.0822508461162
1999,331,6.56677479778908
1999,337,10.1593171844855
1999,368,12.5103482565001
1999,437,14.4393152559532
1999,537,14.1341532339241
1999,637,12.5809593797188
2000,5,16.6050334455135
2000,25,7.15227135089799
2000,27,11.9802410933766
2000,39,11.5642077842337
2000,43,13.2267896108528
